batter,againstTeam,batsman_run
A Ashish Reddy,Chennai Super Kings,3
A Ashish Reddy,Delhi Daredevils,1
A Ashish Reddy,Kings XI Punjab,2
A Ashish Reddy,Kolkata Knight Riders,1
A Ashish Reddy,Mumbai Indians,2
A Ashish Reddy,Pune Warriors,1
A Ashish Reddy,Rajasthan Royals,1
A Ashish Reddy,Royal Challengers Bangalore,4
A Badoni,Chennai Super Kings,2
A Badoni,Delhi Capitals,1
A Badoni,Gujarat Titans,3
A Badoni,Mumbai Indians,1
A Choudhary,Sunrisers Hyderabad,1
A Flintoff,Mumbai Indians,1
A Flintoff,Royal Challengers Bangalore,1
A Manohar,Rajasthan Royals,2
A Manohar,Sunrisers Hyderabad,1
A Mishra,Chennai Super Kings,1
A Mishra,Kolkata Knight Riders,1
A Mishra,Mumbai Indians,1
A Mishra,Rising Pune Supergiants,1
A Mishra,Royal Challengers Bangalore,1
A Mithun,Kings XI Punjab,1
A Nehra,Deccan Chargers,1
AA Jhunjhunwala,Chennai Super Kings,1
AA Jhunjhunwala,Delhi Daredevils,1
AA Jhunjhunwala,Kings XI Punjab,1
AA Jhunjhunwala,Mumbai Indians,2
AB Agarkar,Deccan Chargers,1
AB Agarkar,Delhi Daredevils,2
AB Agarkar,Rajasthan Royals,2
AB Barath,Mumbai Indians,1
AB McDonald,Delhi Daredevils,2
AB McDonald,Mumbai Indians,1
AB McDonald,Royal Challengers Bangalore,1
AB de Villiers,Chennai Super Kings,25
AB de Villiers,Deccan Chargers,6
AB de Villiers,Delhi Capitals,10
AB de Villiers,Delhi Daredevils,20
AB de Villiers,Gujarat Lions,17
AB de Villiers,Kings XI Punjab,42
AB de Villiers,Kochi Tuskers Kerala,5
AB de Villiers,Kolkata Knight Riders,25
AB de Villiers,Mumbai Indians,36
AB de Villiers,Pune Warriors,10
AB de Villiers,Punjab Kings,2
AB de Villiers,Rajasthan Royals,24
AB de Villiers,Rising Pune Supergiants,6
AB de Villiers,Sunrisers Hyderabad,25
AC Blizzard,Kolkata Knight Riders,2
AC Gilchrist,Chennai Super Kings,11
AC Gilchrist,Deccan Chargers,5
AC Gilchrist,Delhi Daredevils,15
AC Gilchrist,Kings XI Punjab,5
AC Gilchrist,Kolkata Knight Riders,9
AC Gilchrist,Mumbai Indians,16
AC Gilchrist,Pune Warriors,1
AC Gilchrist,Rajasthan Royals,9
AC Gilchrist,Royal Challengers Bangalore,21
AC Thomas,Deccan Chargers,1
AC Voges,Kings XI Punjab,1
AC Voges,Kolkata Knight Riders,2
AD Hales,Delhi Daredevils,3
AD Hales,Royal Challengers Bangalore,3
AD Mascarenhas,Delhi Daredevils,1
AD Mathews,Chennai Super Kings,2
AD Mathews,Deccan Chargers,4
AD Mathews,Delhi Daredevils,4
AD Mathews,Kolkata Knight Riders,10
AD Mathews,Mumbai Indians,2
AD Mathews,Rajasthan Royals,1
AD Mathews,Royal Challengers Bangalore,4
AD Mathews,Sunrisers Hyderabad,2
AD Nath,Chennai Super Kings,1
AD Nath,Kolkata Knight Riders,1
AD Russell,Chennai Super Kings,26
AD Russell,Delhi Capitals,15
AD Russell,Delhi Daredevils,11
AD Russell,Gujarat Titans,6
AD Russell,Kings XI Punjab,17
AD Russell,Lucknow Super Giants,5
AD Russell,Mumbai Indians,15
AD Russell,Punjab Kings,8
AD Russell,Rajasthan Royals,15
AD Russell,Rising Pune Supergiants,2
AD Russell,Royal Challengers Bangalore,38
AD Russell,Sunrisers Hyderabad,17
AF Milne,Chennai Super Kings,1
AJ Finch,Chennai Super Kings,4
AJ Finch,Delhi Daredevils,12
AJ Finch,Kings XI Punjab,5
AJ Finch,Kolkata Knight Riders,16
AJ Finch,Mumbai Indians,5
AJ Finch,Pune Warriors,2
AJ Finch,Rajasthan Royals,8
AJ Finch,Rising Pune Supergiants,5
AJ Finch,Royal Challengers Bangalore,12
AJ Finch,Sunrisers Hyderabad,9
AJ Tye,Delhi Capitals,1
AJ Tye,Kings XI Punjab,1
AJ Tye,Kolkata Knight Riders,1
AJ Tye,Mumbai Indians,2
AK Markram,Chennai Super Kings,3
AK Markram,Delhi Capitals,3
AK Markram,Gujarat Titans,3
AK Markram,Kolkata Knight Riders,8
AK Markram,Punjab Kings,1
AK Markram,Rajasthan Royals,3
AK Markram,Royal Challengers Bangalore,2
AL Menaria,Chennai Super Kings,1
AL Menaria,Deccan Chargers,2
AL Menaria,Delhi Daredevils,3
AL Menaria,Kings XI Punjab,3
AL Menaria,Kochi Tuskers Kerala,1
AL Menaria,Kolkata Knight Riders,3
AL Menaria,Mumbai Indians,2
AL Menaria,Pune Warriors,3
AM Nayar,Chennai Super Kings,8
AM Nayar,Deccan Chargers,6
AM Nayar,Kings XI Punjab,3
AM Nayar,Rajasthan Royals,2
AM Nayar,Royal Challengers Bangalore,1
AM Rahane,Chennai Super Kings,4
AM Rahane,Deccan Chargers,1
AM Rahane,Delhi Capitals,3
AM Rahane,Delhi Daredevils,13
AM Rahane,Kings XI Punjab,8
AM Rahane,Kolkata Knight Riders,12
AM Rahane,Mumbai Indians,12
AM Rahane,Pune Warriors,2
AM Rahane,Royal Challengers Bangalore,13
AM Rahane,Sunrisers Hyderabad,12
AN Ahmed,Royal Challengers Bangalore,1
AP Dole,Mumbai Indians,1
AP Majumdar,Rajasthan Royals,2
AP Tare,Delhi Daredevils,2
AP Tare,Kings XI Punjab,3
AP Tare,Kolkata Knight Riders,1
AP Tare,Rajasthan Royals,5
AR Patel,Chennai Super Kings,6
AR Patel,Delhi Daredevils,8
AR Patel,Gujarat Lions,2
AR Patel,Kolkata Knight Riders,6
AR Patel,Lucknow Super Giants,3
AR Patel,Mumbai Indians,12
AR Patel,Rajasthan Royals,2
AR Patel,Rising Pune Supergiants,2
AR Patel,Royal Challengers Bangalore,7
AR Patel,Sunrisers Hyderabad,6
AS Rajpoot,Kolkata Knight Riders,1
AS Raut,Chennai Super Kings,2
AS Raut,Kolkata Knight Riders,2
AS Raut,Mumbai Indians,2
AS Raut,Royal Challengers Bangalore,1
AS Yadav,Kolkata Knight Riders,1
AS Yadav,Royal Challengers Bangalore,1
AT Carey,Rajasthan Royals,1
AT Rayudu,Chennai Super Kings,15
AT Rayudu,Deccan Chargers,2
AT Rayudu,Delhi Capitals,8
AT Rayudu,Delhi Daredevils,18
AT Rayudu,Gujarat Lions,1
AT Rayudu,Gujarat Titans,2
AT Rayudu,Kings XI Punjab,9
AT Rayudu,Kochi Tuskers Kerala,4
AT Rayudu,Kolkata Knight Riders,13
AT Rayudu,Lucknow Super Giants,2
AT Rayudu,Mumbai Indians,18
AT Rayudu,Pune Warriors,1
AT Rayudu,Punjab Kings,6
AT Rayudu,Rajasthan Royals,16
AT Rayudu,Rising Pune Supergiants,1
AT Rayudu,Royal Challengers Bangalore,29
AT Rayudu,Sunrisers Hyderabad,19
AUK Pathan,Chennai Super Kings,1
AUK Pathan,Kings XI Punjab,1
Abdul Samad,Chennai Super Kings,1
Abdul Samad,Delhi Capitals,4
Abdul Samad,Kolkata Knight Riders,6
Abdul Samad,Mumbai Indians,2
Abdul Samad,Rajasthan Royals,1
Abhishek Sharma,Chennai Super Kings,6
Abhishek Sharma,Gujarat Titans,3
Abhishek Sharma,Kings XI Punjab,1
Abhishek Sharma,Kolkata Knight Riders,2
Abhishek Sharma,Mumbai Indians,2
Abhishek Sharma,Punjab Kings,3
Abhishek Sharma,Rajasthan Royals,1
Abhishek Sharma,Royal Challengers Bangalore,7
Anirudh Singh,Royal Challengers Bangalore,1
Ankit Sharma,Chennai Super Kings,3
Ankit Sharma,Gujarat Lions,1
Ankit Soni,Mumbai Indians,1
Anmolpreet Singh,Chennai Super Kings,1
Anuj Rawat,Mumbai Indians,6
Anuj Rawat,Punjab Kings,1
Anureet Singh,Delhi Daredevils,1
Avesh Khan,Gujarat Titans,2
Avesh Khan,Rajasthan Royals,1
Azhar Mahmood,Chennai Super Kings,2
Azhar Mahmood,Deccan Chargers,1
Azhar Mahmood,Delhi Daredevils,1
Azhar Mahmood,Mumbai Indians,5
Azhar Mahmood,Rajasthan Royals,1
Azhar Mahmood,Royal Challengers Bangalore,3
B Akhil,Deccan Chargers,3
B Akhil,Delhi Daredevils,2
B Chipli,Chennai Super Kings,1
B Chipli,Delhi Daredevils,1
B Chipli,Kolkata Knight Riders,1
B Chipli,Pune Warriors,1
B Chipli,Royal Challengers Bangalore,3
B Kumar,Chennai Super Kings,1
B Kumar,Kolkata Knight Riders,1
B Kumar,Rising Pune Supergiants,1
B Lee,Deccan Chargers,1
B Lee,Delhi Daredevils,3
B Lee,Mumbai Indians,1
B Lee,Rajasthan Royals,2
B Lee,Royal Challengers Bangalore,1
B Sai Sudharsan,Mumbai Indians,1
B Sai Sudharsan,Punjab Kings,2
BA Bhatt,Kolkata Knight Riders,1
BA Stokes,Chennai Super Kings,5
BA Stokes,Delhi Daredevils,3
BA Stokes,Gujarat Lions,7
BA Stokes,Kings XI Punjab,7
BA Stokes,Kolkata Knight Riders,2
BA Stokes,Mumbai Indians,4
BA Stokes,Royal Challengers Bangalore,1
BA Stokes,Sunrisers Hyderabad,3
BB McCullum,Chennai Super Kings,9
BB McCullum,Deccan Chargers,1
BB McCullum,Delhi Daredevils,10
BB McCullum,Kings XI Punjab,12
BB McCullum,Kolkata Knight Riders,19
BB McCullum,Mumbai Indians,17
BB McCullum,Pune Warriors,1
BB McCullum,Rajasthan Royals,9
BB McCullum,Rising Pune Supergiants,10
BB McCullum,Royal Challengers Bangalore,30
BB McCullum,Sunrisers Hyderabad,12
BB Samantray,Pune Warriors,1
BB Samantray,Rajasthan Royals,1
BCJ Cutting,Delhi Daredevils,4
BCJ Cutting,Kings XI Punjab,2
BCJ Cutting,Kolkata Knight Riders,4
BCJ Cutting,Rajasthan Royals,2
BCJ Cutting,Royal Challengers Bangalore,7
BJ Haddin,Royal Challengers Bangalore,1
BJ Hodge,Chennai Super Kings,7
BJ Hodge,Deccan Chargers,3
BJ Hodge,Delhi Daredevils,1
BJ Hodge,Kings XI Punjab,6
BJ Hodge,Kolkata Knight Riders,5
BJ Hodge,Mumbai Indians,9
BJ Hodge,Pune Warriors,2
BJ Hodge,Rajasthan Royals,2
BJ Hodge,Royal Challengers Bangalore,3
BJ Hodge,Sunrisers Hyderabad,5
BJ Rohrer,Kings XI Punjab,3
BJ Rohrer,Kolkata Knight Riders,1
BJ Rohrer,Rajasthan Royals,1
Basil Thampi,Sunrisers Hyderabad,1
Bipul Sharma,Gujarat Lions,3
Bipul Sharma,Kolkata Knight Riders,4
Bipul Sharma,Pune Warriors,2
C Munro,Chennai Super Kings,2
C Munro,Kolkata Knight Riders,2
C Munro,Sunrisers Hyderabad,4
C de Grandhomme,Kolkata Knight Riders,1
C de Grandhomme,Mumbai Indians,4
C de Grandhomme,Rising Pune Supergiants,2
C de Grandhomme,Royal Challengers Bangalore,2
C de Grandhomme,Sunrisers Hyderabad,9
CA Ingram,Kings XI Punjab,1
CA Ingram,Kolkata Knight Riders,1
CA Ingram,Mumbai Indians,1
CA Ingram,Royal Challengers Bangalore,2
CA Lynn,Chennai Super Kings,8
CA Lynn,Delhi Daredevils,1
CA Lynn,Gujarat Lions,8
CA Lynn,Kings XI Punjab,12
CA Lynn,Mumbai Indians,10
CA Lynn,Rajasthan Royals,4
CA Lynn,Royal Challengers Bangalore,14
CA Lynn,Sunrisers Hyderabad,9
CA Pujara,Kolkata Knight Riders,1
CA Pujara,Rajasthan Royals,1
CA Pujara,Royal Challengers Bangalore,2
CH Gayle,Chennai Super Kings,30
CH Gayle,Deccan Chargers,5
CH Gayle,Delhi Capitals,9
CH Gayle,Delhi Daredevils,29
CH Gayle,Gujarat Lions,7
CH Gayle,Kings XI Punjab,61
CH Gayle,Kochi Tuskers Kerala,5
CH Gayle,Kolkata Knight Riders,54
CH Gayle,Mumbai Indians,45
CH Gayle,Pune Warriors,36
CH Gayle,Rajasthan Royals,31
CH Gayle,Royal Challengers Bangalore,14
CH Gayle,Sunrisers Hyderabad,33
CH Morris,Chennai Super Kings,1
CH Morris,Delhi Capitals,4
CH Morris,Delhi Daredevils,1
CH Morris,Gujarat Lions,8
CH Morris,Kings XI Punjab,6
CH Morris,Mumbai Indians,3
CH Morris,Rajasthan Royals,1
CH Morris,Rising Pune Supergiants,5
CH Morris,Royal Challengers Bangalore,1
CH Morris,Sunrisers Hyderabad,5
CJ Anderson,Chennai Super Kings,5
CJ Anderson,Delhi Daredevils,1
CJ Anderson,Gujarat Lions,2
CJ Anderson,Kings XI Punjab,6
CJ Anderson,Kolkata Knight Riders,4
CJ Anderson,Rajasthan Royals,9
CJ Anderson,Royal Challengers Bangalore,1
CJ Anderson,Sunrisers Hyderabad,3
CJ Jordan,Kolkata Knight Riders,3
CK Langeveldt,Kings XI Punjab,1
CL White,Chennai Super Kings,4
CL White,Deccan Chargers,4
CL White,Delhi Daredevils,3
CL White,Kings XI Punjab,1
CL White,Kochi Tuskers Kerala,1
CL White,Kolkata Knight Riders,2
CL White,Mumbai Indians,6
CL White,Pune Warriors,9
CL White,Royal Challengers Bangalore,8
CM Gautam,Kings XI Punjab,2
CM Gautam,Pune Warriors,1
CM Gautam,Royal Challengers Bangalore,3
CR Brathwaite,Chennai Super Kings,7
CR Brathwaite,Kings XI Punjab,1
CR Brathwaite,Kolkata Knight Riders,5
CR Brathwaite,Rising Pune Supergiants,3
CR Woakes,Kings XI Punjab,1
CR Woakes,Mumbai Indians,1
D Brevis,Delhi Capitals,3
D Brevis,Kolkata Knight Riders,2
D Brevis,Lucknow Super Giants,1
D Brevis,Punjab Kings,5
D Padikkal,Chennai Super Kings,7
D Padikkal,Delhi Capitals,4
D Padikkal,Gujarat Titans,2
D Padikkal,Kings XI Punjab,1
D Padikkal,Kolkata Knight Riders,2
D Padikkal,Lucknow Super Giants,2
D Padikkal,Mumbai Indians,3
D Padikkal,Punjab Kings,3
D Padikkal,Rajasthan Royals,7
D Padikkal,Royal Challengers Bangalore,3
D Padikkal,Sunrisers Hyderabad,2
D Pretorius,Mumbai Indians,1
D Pretorius,Punjab Kings,1
D Pretorius,Royal Challengers Bangalore,1
D Wiese,Chennai Super Kings,2
D Wiese,Mumbai Indians,2
DA Miller,Chennai Super Kings,15
DA Miller,Deccan Chargers,1
DA Miller,Delhi Capitals,4
DA Miller,Delhi Daredevils,8
DA Miller,Gujarat Lions,1
DA Miller,Kolkata Knight Riders,10
DA Miller,Lucknow Super Giants,3
DA Miller,Mumbai Indians,13
DA Miller,Pune Warriors,5
DA Miller,Rajasthan Royals,23
DA Miller,Rising Pune Supergiants,2
DA Miller,Royal Challengers Bangalore,16
DA Miller,Sunrisers Hyderabad,12
DA Warner,Chennai Super Kings,15
DA Warner,Deccan Chargers,12
DA Warner,Delhi Capitals,5
DA Warner,Delhi Daredevils,7
DA Warner,Gujarat Lions,9
DA Warner,Kings XI Punjab,35
DA Warner,Kolkata Knight Riders,40
DA Warner,Mumbai Indians,25
DA Warner,Pune Warriors,8
DA Warner,Punjab Kings,2
DA Warner,Rajasthan Royals,9
DA Warner,Rising Pune Supergiants,3
DA Warner,Royal Challengers Bangalore,43
DA Warner,Sunrisers Hyderabad,3
DB Das,Chennai Super Kings,5
DB Das,Delhi Daredevils,3
DB Das,Kings XI Punjab,1
DB Das,Mumbai Indians,3
DB Das,Pune Warriors,1
DB Das,Rajasthan Royals,3
DB Ravi Teja,Chennai Super Kings,1
DB Ravi Teja,Delhi Daredevils,1
DB Ravi Teja,Kings XI Punjab,2
DB Ravi Teja,Kolkata Knight Riders,1
DB Ravi Teja,Mumbai Indians,3
DB Ravi Teja,Rajasthan Royals,1
DE Bollinger,Delhi Daredevils,1
DH Yagnik,Kolkata Knight Riders,1
DH Yagnik,Mumbai Indians,1
DJ Bravo,Chennai Super Kings,2
DJ Bravo,Deccan Chargers,10
DJ Bravo,Delhi Daredevils,6
DJ Bravo,Kings XI Punjab,11
DJ Bravo,Kolkata Knight Riders,4
DJ Bravo,Mumbai Indians,19
DJ Bravo,Pune Warriors,1
DJ Bravo,Rajasthan Royals,4
DJ Bravo,Rising Pune Supergiants,1
DJ Bravo,Royal Challengers Bangalore,8
DJ Harris,Kings XI Punjab,1
DJ Harris,Royal Challengers Bangalore,4
DJ Hooda,Chennai Super Kings,6
DJ Hooda,Delhi Capitals,3
DJ Hooda,Delhi Daredevils,5
DJ Hooda,Gujarat Titans,2
DJ Hooda,Kings XI Punjab,7
DJ Hooda,Kolkata Knight Riders,6
DJ Hooda,Mumbai Indians,6
DJ Hooda,Punjab Kings,2
DJ Hooda,Rajasthan Royals,8
DJ Hooda,Rising Pune Supergiants,3
DJ Hooda,Royal Challengers Bangalore,5
DJ Hooda,Sunrisers Hyderabad,3
DJ Hussey,Chennai Super Kings,2
DJ Hussey,Deccan Chargers,18
DJ Hussey,Delhi Daredevils,7
DJ Hussey,Kings XI Punjab,5
DJ Hussey,Kochi Tuskers Kerala,1
DJ Hussey,Kolkata Knight Riders,1
DJ Hussey,Mumbai Indians,9
DJ Hussey,Pune Warriors,1
DJ Hussey,Rajasthan Royals,3
DJ Hussey,Royal Challengers Bangalore,10
DJ Hussey,Sunrisers Hyderabad,3
DJ Jacobs,Deccan Chargers,1
DJ Jacobs,Rajasthan Royals,1
DJ Jacobs,Royal Challengers Bangalore,2
DJ Malan,Delhi Capitals,1
DJ Thornely,Delhi Daredevils,2
DJG Sammy,Chennai Super Kings,3
DJG Sammy,Delhi Daredevils,1
DJG Sammy,Kings XI Punjab,1
DJG Sammy,Kolkata Knight Riders,5
DJG Sammy,Mumbai Indians,1
DJG Sammy,Rajasthan Royals,5
DJG Sammy,Royal Challengers Bangalore,2
DJM Short,Delhi Daredevils,4
DJM Short,Kolkata Knight Riders,1
DL Chahar,Delhi Daredevils,2
DL Chahar,Kings XI Punjab,3
DL Chahar,Sunrisers Hyderabad,1
DL Vettori,Delhi Daredevils,1
DL Vettori,Kolkata Knight Riders,1
DP Conway,Delhi Capitals,5
DP Conway,Rajasthan Royals,1
DP Conway,Royal Challengers Bangalore,2
DP Conway,Sunrisers Hyderabad,4
DPMD Jayawardene,Chennai Super Kings,9
DPMD Jayawardene,Deccan Chargers,7
DPMD Jayawardene,Delhi Daredevils,3
DPMD Jayawardene,Kings XI Punjab,3
DPMD Jayawardene,Kolkata Knight Riders,9
DPMD Jayawardene,Mumbai Indians,2
DPMD Jayawardene,Rajasthan Royals,4
DPMD Jayawardene,Royal Challengers Bangalore,1
DPMD Jayawardene,Sunrisers Hyderabad,2
DR Sams,Delhi Capitals,1
DR Sams,Rajasthan Royals,1
DR Sams,Sunrisers Hyderabad,1
DR Shorey,Royal Challengers Bangalore,1
DR Smith,Chennai Super Kings,17
DR Smith,Delhi Daredevils,14
DR Smith,Kings XI Punjab,12
DR Smith,Kolkata Knight Riders,8
DR Smith,Mumbai Indians,17
DR Smith,Rajasthan Royals,16
DR Smith,Rising Pune Supergiants,2
DR Smith,Royal Challengers Bangalore,15
DR Smith,Sunrisers Hyderabad,16
DS Kulkarni,Chennai Super Kings,2
DT Christian,Chennai Super Kings,1
DT Christian,Gujarat Lions,1
DT Christian,Kings XI Punjab,6
DT Christian,Kolkata Knight Riders,5
DT Christian,Mumbai Indians,3
DT Christian,Rajasthan Royals,3
DW Steyn,Chennai Super Kings,1
DW Steyn,Kolkata Knight Riders,1
DW Steyn,Rajasthan Royals,1
E Lewis,Chennai Super Kings,8
E Lewis,Delhi Daredevils,8
E Lewis,Kings XI Punjab,1
E Lewis,Kolkata Knight Riders,3
E Lewis,Mumbai Indians,1
E Lewis,Punjab Kings,1
E Lewis,Rajasthan Royals,4
E Lewis,Royal Challengers Bangalore,8
E Lewis,Sunrisers Hyderabad,2
EJG Morgan,Chennai Super Kings,4
EJG Morgan,Deccan Chargers,1
EJG Morgan,Delhi Capitals,6
EJG Morgan,Delhi Daredevils,1
EJG Morgan,Kings XI Punjab,10
EJG Morgan,Kochi Tuskers Kerala,2
EJG Morgan,Kolkata Knight Riders,3
EJG Morgan,Mumbai Indians,5
EJG Morgan,Punjab Kings,2
EJG Morgan,Rajasthan Royals,18
EJG Morgan,Royal Challengers Bangalore,4
EJG Morgan,Sunrisers Hyderabad,8
ER Dwivedi,Royal Challengers Bangalore,2
F du Plessis,Chennai Super Kings,1
F du Plessis,Deccan Chargers,5
F du Plessis,Delhi Capitals,5
F du Plessis,Delhi Daredevils,2
F du Plessis,Gujarat Lions,4
F du Plessis,Kings XI Punjab,15
F du Plessis,Kolkata Knight Riders,8
F du Plessis,Lucknow Super Giants,2
F du Plessis,Mumbai Indians,12
F du Plessis,Pune Warriors,4
F du Plessis,Punjab Kings,10
F du Plessis,Rajasthan Royals,13
F du Plessis,Royal Challengers Bangalore,14
F du Plessis,Sunrisers Hyderabad,14
FY Fazal,Kings XI Punjab,1
G Gambhir,Chennai Super Kings,8
G Gambhir,Deccan Chargers,5
G Gambhir,Delhi Daredevils,6
G Gambhir,Gujarat Lions,1
G Gambhir,Kings XI Punjab,4
G Gambhir,Kolkata Knight Riders,1
G Gambhir,Mumbai Indians,8
G Gambhir,Pune Warriors,2
G Gambhir,Rajasthan Royals,4
G Gambhir,Rising Pune Supergiants,2
G Gambhir,Royal Challengers Bangalore,12
G Gambhir,Sunrisers Hyderabad,6
GC Smith,Chennai Super Kings,4
GC Smith,Deccan Chargers,2
GC Smith,Kings XI Punjab,1
GC Smith,Royal Challengers Bangalore,2
GD Phillips,Chennai Super Kings,1
GD Phillips,Kolkata Knight Riders,1
GH Vihari,Delhi Daredevils,1
GJ Bailey,Chennai Super Kings,2
GJ Bailey,Delhi Daredevils,1
GJ Bailey,Kolkata Knight Riders,5
GJ Bailey,Mumbai Indians,5
GJ Bailey,Rajasthan Royals,2
GJ Bailey,Sunrisers Hyderabad,4
GJ Maxwell,Chennai Super Kings,14
GJ Maxwell,Delhi Capitals,4
GJ Maxwell,Delhi Daredevils,4
GJ Maxwell,Gujarat Lions,5
GJ Maxwell,Gujarat Titans,4
GJ Maxwell,Kings XI Punjab,1
GJ Maxwell,Kolkata Knight Riders,23
GJ Maxwell,Lucknow Super Giants,2
GJ Maxwell,Mumbai Indians,17
GJ Maxwell,Pune Warriors,1
GJ Maxwell,Punjab Kings,5
GJ Maxwell,Rajasthan Royals,13
GJ Maxwell,Rising Pune Supergiants,6
GJ Maxwell,Royal Challengers Bangalore,6
GJ Maxwell,Sunrisers Hyderabad,22
Gurkeerat Singh,Deccan Chargers,1
Gurkeerat Singh,Delhi Capitals,1
Gurkeerat Singh,Delhi Daredevils,1
Gurkeerat Singh,Kolkata Knight Riders,3
Gurkeerat Singh,Rising Pune Supergiants,3
Gurkeerat Singh,Sunrisers Hyderabad,2
H Klaasen,Royal Challengers Bangalore,1
HH Gibbs,Chennai Super Kings,4
HH Gibbs,Delhi Daredevils,4
HH Gibbs,Kings XI Punjab,3
HH Gibbs,Kolkata Knight Riders,4
HH Gibbs,Mumbai Indians,4
HH Gibbs,Rajasthan Royals,2
HH Gibbs,Royal Challengers Bangalore,10
HH Pandya,Chennai Super Kings,13
HH Pandya,Delhi Capitals,8
HH Pandya,Delhi Daredevils,6
HH Pandya,Kings XI Punjab,10
HH Pandya,Kolkata Knight Riders,20
HH Pandya,Lucknow Super Giants,1
HH Pandya,Punjab Kings,2
HH Pandya,Rajasthan Royals,19
HH Pandya,Rising Pune Supergiants,6
HH Pandya,Royal Challengers Bangalore,19
HH Pandya,Sunrisers Hyderabad,7
HM Amla,Gujarat Lions,7
HM Amla,Mumbai Indians,6
HM Amla,Rising Pune Supergiants,2
HM Amla,Royal Challengers Bangalore,4
HM Amla,Sunrisers Hyderabad,2
HV Patel,Chennai Super Kings,4
HV Patel,Kolkata Knight Riders,1
HV Patel,Mumbai Indians,1
HV Patel,Punjab Kings,2
HV Patel,Rajasthan Royals,3
HV Patel,Sunrisers Hyderabad,2
Harbhajan Singh,Chennai Super Kings,12
Harbhajan Singh,Deccan Chargers,5
Harbhajan Singh,Delhi Daredevils,4
Harbhajan Singh,Kings XI Punjab,9
Harbhajan Singh,Kolkata Knight Riders,4
Harbhajan Singh,Pune Warriors,1
Harbhajan Singh,Rajasthan Royals,4
Harbhajan Singh,Rising Pune Supergiants,2
Harbhajan Singh,Royal Challengers Bangalore,1
Harpreet Brar,Delhi Capitals,1
Harpreet Brar,Kolkata Knight Riders,1
Harpreet Brar,Royal Challengers Bangalore,3
I Sharma,Chennai Super Kings,1
I Sharma,Deccan Chargers,1
I Udana,Kings XI Punjab,1
IK Pathan,Chennai Super Kings,7
IK Pathan,Deccan Chargers,5
IK Pathan,Delhi Daredevils,3
IK Pathan,Kochi Tuskers Kerala,1
IK Pathan,Kolkata Knight Riders,7
IK Pathan,Mumbai Indians,2
IK Pathan,Pune Warriors,1
IK Pathan,Rajasthan Royals,3
IK Pathan,Royal Challengers Bangalore,9
Iqbal Abdulla,Gujarat Lions,1
Ishan Kishan,Chennai Super Kings,7
Ishan Kishan,Delhi Capitals,16
Ishan Kishan,Delhi Daredevils,3
Ishan Kishan,Gujarat Titans,1
Ishan Kishan,Kings XI Punjab,6
Ishan Kishan,Kolkata Knight Riders,8
Ishan Kishan,Mumbai Indians,2
Ishan Kishan,Rajasthan Royals,9
Ishan Kishan,Rising Pune Supergiants,2
Ishan Kishan,Royal Challengers Bangalore,18
Ishan Kishan,Sunrisers Hyderabad,13
J Botha,Chennai Super Kings,1
J Botha,Deccan Chargers,2
J Botha,Mumbai Indians,1
J Botha,Sunrisers Hyderabad,1
J Suchith,Delhi Capitals,1
J Suchith,Kings XI Punjab,2
J Yadav,Delhi Capitals,1
JA Morkel,Chennai Super Kings,2
JA Morkel,Deccan Chargers,9
JA Morkel,Delhi Daredevils,5
JA Morkel,Kings XI Punjab,5
JA Morkel,Kochi Tuskers Kerala,1
JA Morkel,Kolkata Knight Riders,5
JA Morkel,Mumbai Indians,2
JA Morkel,Pune Warriors,1
JA Morkel,Rajasthan Royals,17
JA Morkel,Royal Challengers Bangalore,8
JC Archer,Chennai Super Kings,6
JC Archer,Kings XI Punjab,2
JC Archer,Kolkata Knight Riders,3
JC Archer,Mumbai Indians,1
JC Archer,Royal Challengers Bangalore,1
JC Archer,Sunrisers Hyderabad,1
JC Buttler,Chennai Super Kings,8
